Date,Open,High,Low,Close,Adj Close,Volume
2021-08-19,544.200012,546.559998,531.000000,531.000000,528.321777,3154428
2021-08-20,534.200012,538.599976,524.000000,531.000000,528.321777,3692750
2021-08-23,536.400024,537.200012,525.000000,525.799988,523.148010,2282755
2021-08-24,525.000000,541.200012,522.599976,541.200012,538.470398,4106048
2021-08-25,542.599976,543.799988,535.599976,539.000000,536.281433,2493933
2021-08-26,534.599976,540.000000,532.200012,535.000000,532.301636,1408398
2021-08-27,535.000000,535.000000,526.799988,533.599976,530.908691,1037626
2021-08-31,534.400024,537.200012,524.400024,531.000000,528.321777,3957104
2021-09-01,534.799988,561.255981,533.200012,556.400024,553.593689,5651969
2021-09-02,560.000000,567.200012,554.000000,558.799988,555.981567,3703494
2021-09-03,557.000000,559.200012,548.200012,549.599976,546.827942,4135190
2021-09-06,550.000000,557.000000,548.599976,554.599976,551.802734,1690618
2021-09-07,554.599976,554.599976,548.200012,549.400024,546.629028,2182419
